A0B9A2;Q9BX10
O27389;P98175
O28836;Q4LEZ3
Q9HN64;A1A5C7
Q58327;Q8IY37
C3MWX0;Q7Z7H8
P56811;Q8TAS1
A7IA69;P0DMB1
Q6LXM4;P78333
D4GYG5;Q76L83
Q58996;P51959
Q6LZL5;Q9NP95
A1RT34;Q69YG0
A4WKJ7;P13224
Q9C4B4;Q8IVM8
Q60373;Q9GZP0
Q9HNR3;Q9NUL7
C3MVJ3;P60321
Q96Y77;Q13153
Q58985;P49795
P26815;P60372
A9A7M3;Q9BRQ5
Q12U08;P46100
Q97BJ9;Q96PE1
C3N5P4;Q9Y2C4
P70722;O60885
Q9YA53;P48059
O28052;Q3KNS6
F2Z5Z6;Q93073
A6VIS6;Q6ZVD8
O06503;P0CG04
O58832;P18031
Q8TMD6;Q3KNS6
Q8PZR8;A6NJI9
Q9UX98;P61296
Q51798;A0A0A0MS03
B1L796;Q8NA69
A6VFZ2;Q9P260
Q97CT6;Q9UQK1
A4YIE0;Q9NPF4
Q9V2D7;Q9UL51
P29160;Q8NFZ5
Q12VF9;Q5T6R2
Q8TU10;P16619
A4WN19;A6NGS2
Q9V2N7;Q96NT3
Q9V277;Q8N5R6
Q9YC11;Q8N6Q8
O30561;Q9H9A7
C4KHH3;Q9BYQ7
Q6M075;Q9Y4K3
O28912;Q15797
B8D687;Q7Z5L3
A4FXG8;Q96AW1
Q9HNP5;Q8WWZ7
B1YAT9;Q9UKS6
Q2FPZ8;Q9UJT9
A7I7P5;Q9H841
Q18E49;Q68DU8
C3NF67;Q15746
Q9YEY2;Q96L12
O26734;P0DMT0
Q8ZW41;O15131
A7IAV1;Q5T2W1
B8ZYW3;Q00975
Q57631;Q9UNK0
Q9HQJ4;A6NDX5
Q58266;Q13021
Q5V5D4;O15198
Q9YBY6;Q8TBF4
Q974T4;Q9H0A6
A4FXD7;A0A1W2PPE3
Q58996;O43617
Q50227;O00322
O28049;A6NKF2
Q46CL1;Q5T280
Q9HRB2;P08754
O73986;P05455
Q18KJ5;Q6ZS52
Q4J9D2;A8MQ27
Q979K3;P0DPP9
Q9P9I3;Q2M3G0
P39462;Q92752
B6YT12;Q05932
Q8TSY0;Q96A58
A4YIP0;Q8TCH9
B8D5V8;Q13200
A4WLJ8;P57738
Q976K0;Q4VX62
O58855;C9JJH3
Q5JEK6;Q96JM2
P29200;P62263
B0R594;A0A0U1RQF7
Q9V2Z7;P60410
Q50799;P35219
C3MWN0;Q13201
A2SRI7;Q3MHD2
Q5V296;Q5XKR9
Q9HM63;P14649
Q9V1T9;P32969
P81319;P17482
C4KKT0;Q14012
Q8Q095;Q04726
A4FZP7;A0A0A0MS02
O27656;Q8NBE8
P0CW52;Q8N8I0
Q9V2F1;Q6NUQ1
O27304;P62952
Q0W8A0;Q96MV1
Q976L5;Q9H4D0
C3NGA1;Q7Z7M8
O26521;Q6NXS1
Q9V163;O43617
Q8TMD5;Q9Y2K6
A3MUI7;O00541
Q9P9I8;Q9H2H9
Q8TW01;P17509
O26758;P78381
Q9HH00;Q71H61
Q51800;P14151
C7P7V6;Q8NFY4
A4WGZ8;O60383
O59355;P13929
Q5V545;Q8TE57
C3MRD1;P98077
