Q57996;Q9UNF0
Q8U4B6;Q9GZV8
A3DMX9;P08697
Q9Y9E3;P10071
Q8ZVA7;Q96A65
A4FWA8;P42345
Q8TW10;Q8NEV1
Q8TIX0;P11413
O59251;Q5VZM2
A6VJX5;Q9Y5I7
Q57727;Q99798
Q7LYI9;Q16854
O28475;Q13111
A6UVH2;P51970
B6YUQ8;P02745
A4FWC6;Q13201
Q97WP0;Q96B67
Q12ZP6;P48745
A8A906;P46109
Q5V069;P16870
P07956;Q96P63
Q57934;Q6IEU7
O27986;A6NNM3
O28215;Q9Y646
Q58479;P29317
A6UTE5;Q96T58
A7I4Y4;Q8N0Y3
Q974S1;Q9Y2H1
Q8TQQ0;Q03468
A6URE0;Q5VST9
Q57831;Q8TF50
C3MVK2;Q99614
Q58463;P05154
D5EBS7;Q8NHS2
O27545;P54709
P07961;Q8NBT3
Q12XB7;Q86UW8
A7I9H8;Q9Y274
P28542;Q9UHF1
Q8TVB7;Q8N8Y2
B6YTJ5;Q9Y2K9
D5VSX2;Q04771
Q8TY91;Q8N511
A3CUF2;Q9NPI0
Q9HNE4;Q6W349
B1YAF1;Q9H4B4
Q9V0L6;Q9NX58
Q5UXW7;Q7L266
I3R9N2;P37088
Q58315;A6NK53
O29534;P98182
C6A1G2;Q9BTD3
A6VH67;Q9P003
A6UP44;Q96DE5
O28512;Q9NXE8
B6YTJ2;Q8IVG5
Q8TT41;O75954
B8YB56;Q15772
C3N0R7;Q9BU64
Q58276;Q9Y247
Q60370;Q8N163
Q8U005;Q9Y2S6
O29132;Q96SZ5
Q4J9B1;O95704
Q8ZW50;O00264
Q8PXI1;Q6ZMY3
O29211;Q9P2K8
Q3INI7;Q8IWL2
P10970;Q14511
A1RYE4;P0CG12
A6VGQ8;P43034
O58393;O43707
Q0W5Q9;O75794
Q9HSS7;P56545
O28118;Q9H0J4
Q9HL07;Q86T96
Q12WE6;Q9BRR0
O28717;O60673
Q6LYR0;Q92738
Q8TWH4;P25940
Q58694;Q8NGD3
O29808;Q86W34
Q974T8;Q96IZ6
P81543;P28289
C4KHD5;O60756
Q5JDI0;Q9NY93
A9A541;P0DP23
Q50777;P13866
Q3ITC8;Q9NY33
Q58670;Q8NGR2
Q58898;Q9H6S3
P62015;Q3SX64
Q9UX92;Q96JB6
Q8PW87;Q9NQZ6
Q9YEF5;Q9HD47
Q5UXK3;Q8NBM4
A6UPD9;Q96GM8
A4FWF4;Q9BYD2
Q58350;P22760
Q2NEP6;O00159
D4H018;Q9Y3B6
A0B5B1;Q7RTS3
Q5V2S1;Q6MZQ0
Q3IP82;P18848
Q9YCQ6;P0DW13
Q2FQ51;Q96MP8
C4KH27;Q9BXW4
Q75ZQ5;Q8WWI5
O07835;Q9NUR3
Q97VE1;Q7L190
Q9UWT5;Q9UGK3
A8A929;P0C5K6
Q6M139;P49914
