jobs,interface,Num_intf_residues,Polar,Hydrophobhic,Charged,contact_pairs,sc,hb,sb,int_solv_en,int_area,pi_score,pdb,pvalue,iptm_ptm,iptm,mpDockQ/pDockQ,file_source,label,pred,model_1_multimer_v3_pred_0,model_2_multimer_v3_pred_0,model_3_multimer_v3_pred_0,model_4_multimer_v3_pred_0,model_5_multimer_v3_pred_0
2GNJ_1_and_2GNJ_2,C_B,22.0,0.318,0.318,0.273,22.0,0.726,9.0,14.0,-5.45,1022.78,2.1,,,0.957887766710502,0.95960915,0.5125178106560678,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.957887766710502,0.9548873690444327,0.9537209748848378,0.9526596049148276,0.9519001988572364
1JBP_1_and_1JBP_2,C_B,22.0,0.318,0.318,0.273,22.0,0.718,12.0,16.0,-4.86,1032.18,1.92,,,0.9568717172448996,0.95903724,0.513515255244065,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9568717172448995,0.9542165701241452,0.9541607180105973,0.9524664777546945,0.951730423629003
3OVV_1_and_3OVV_2,C_B,22.0,0.318,0.318,0.273,22.0,0.725,7.0,14.0,-6.18,1010.58,2.09,,,0.956850667698392,0.9589312,0.5191698710057254,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9568506676983919,0.9529508211491056,0.9520881197311635,0.9520800534233308,0.951719123955432
2VO3_1_and_2VO3_2,C_B,22.0,0.318,0.318,0.273,22.0,0.725,7.0,14.0,-6.19,1001.56,2.09,,,0.9566462878859916,0.95890486,0.4955107310588707,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9566462878859917,0.9529020156449568,0.951220958873652,0.9506633612454635,0.9495025318617649
2VNW_1_and_2VNW_2,C_B,22.0,0.318,0.318,0.273,22.0,0.729,7.0,15.0,-5.17,1022.13,2.0,,,0.956535304776454,0.95879626,0.5162693353392014,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.956535304776454,0.9542536079190023,0.9537721416086313,0.9517992507123723,0.5943390596056226
2GNG_1_and_2GNG_2,C_B,22.0,0.318,0.318,0.273,22.0,0.742,8.0,14.0,-4.03,1013.58,2.12,,,0.9569523048671726,0.9587374,0.5020897576940262,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9569523048671726,0.9525732505753601,0.9522134515994634,0.9508510023868395,0.9471472541977004
2GNI_1_and_2GNI_2,C_B,22.0,0.318,0.318,0.273,22.0,0.719,8.0,14.0,-4.04,1016.76,1.98,,,0.9568950608562996,0.95869803,0.503323547321961,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9568950608562995,0.9530517399582026,0.9527100209236787,0.9520489285392063,0.9507626833413416
2UW4_1_and_2UW4_2,C_B,22.0,0.318,0.318,0.273,22.0,0.722,8.0,14.0,-4.63,1010.83,2.02,,,0.9562694037487924,0.9585798,0.5027607565818941,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9562694037487923,0.9542509004543204,0.952585635435597,0.9501919996414747,0.9495284940785729
1YDR_1_and_1YDR_2,C_B,22.0,0.318,0.318,0.273,22.0,0.731,9.0,14.0,-6.34,1012.68,2.17,,,0.9568252530723212,0.9585719,0.4961933733749007,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9568252530723212,0.9532851927937988,0.95319452704098,0.9524965078715332,0.7031499673013508
2VO0_1_and_2VO0_2,C_B,22.0,0.318,0.318,0.273,22.0,0.72,8.0,14.0,-6.16,1007.09,2.08,,,0.9562074162195686,0.95856696,0.4911222030115259,/n/holyscratch01/ramanathan_lab/yuting/outputs/8599_tp_1to2500,1.0,1.0,0.9562074162195686,0.9530274045384317,0.9529473268227897,0.9524717301159693,0.950975913599582
